sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch12-guide-01,o003-gvsu-ch12-sec_top_space_intro-prompt-01,synthetic_locale_neutral_alias,source/sec_top_space_intro.ptx,64,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_space_intro.ptx"",""authority_line"":64,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_top_space_intro"",""xpath"":""/section/exploration/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""aa64bd7c0bdfa5e041521721d606d538cf8074455dc05691aa0be6f638f7350a""}",,covered
2,o003-c90-ch12-guide-02,o003-gvsu-ch12-sec_top_space_intro-prompt-02,synthetic_locale_neutral_alias,source/sec_top_space_intro.ptx,73,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_space_intro.ptx"",""authority_line"":73,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_top_space_intro"",""xpath"":""/section/exploration/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""f6495bd44904770b5f935e749b77add532320b41b6cdbbf94900e85abb38d1ed""}",,covered
3,o003-c90-ch12-guide-03,o003-gvsu-ch12-sec_top_space_intro-prompt-03,synthetic_locale_neutral_alias,source/sec_top_space_intro.ptx,84,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_space_intro.ptx"",""authority_line"":84,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_top_space_intro"",""xpath"":""/section/exploration/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""9bac1b5993af59e18a10ac0b09d571f5c43c871a324fbad7c281e2901be7d76c""}",,covered
4,o003-c90-ch12-guide-04,o003-gvsu-ch12-sec_top_space_intro-prompt-04,synthetic_locale_neutral_alias,source/sec_top_space_intro.ptx,98,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_space_intro.ptx"",""authority_line"":98,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_top_space_intro"",""xpath"":""/section/exploration/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""ec084711166282500433575490d5aabbd5d6b062cae0fdb114d78ff6d253aa63""}",,covered
5,o003-c90-ch12-guide-05,o003-gvsu-ch12-sec_top_space_intro-prompt-05,synthetic_locale_neutral_alias,source/sec_top_space_intro.ptx,112,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_space_intro.ptx"",""authority_line"":112,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_top_space_intro"",""xpath"":""/section/exploration/task[5]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""4106985077e0b905264f7e2ec380c0977fd6abd92a76c1d6368e6a3571e47acf""}",,covered
6,o003-c90-ch12-guide-06,o003-gvsu-ch12-sec_top_space_intro-prompt-06,synthetic_locale_neutral_alias,source/sec_top_space_intro.ptx,123,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_space_intro.ptx"",""authority_line"":123,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_top_space_intro"",""xpath"":""/section/exploration/task[6]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""f916685f57cce03a7f640f7a35094199ec04f4262fa691c8bca086a66f8fdcbd""}",,covered
7,o003-c90-ch12-guide-07,o003-gvsu-ch12-sec_top_space_intro-prompt-07,synthetic_locale_neutral_alias,source/sec_top_space_intro.ptx,132,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_space_intro.ptx"",""authority_line"":132,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_top_space_intro"",""xpath"":""/section/exploration/task[7]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""abb3f1e1a5d6bd7c610234ebc0a1855b8f2021612103ad919b81160cf50d6664""}",,covered
8,o003-c90-ch12-guide-08,o003-gvsu-ch12-sec_top_space_intro-prompt-08,synthetic_locale_neutral_alias,source/sec_top_space_intro.ptx,141,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_space_intro.ptx"",""authority_line"":141,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_top_space_intro"",""xpath"":""/section/exploration/task[8]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""814a631b7bf91beed3f6073effdd9e10b3eaae0ab6900dbe4ecd1d026a39090a""}",,covered
9,o003-c90-ch12-guide-09,o003-gvsu-ch12-act_TS_limits1-prompt-01,synthetic_locale_neutral_alias,source/sec_exam_top.ptx,49,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_exam_top.ptx"",""authority_line"":49,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_TS_limits1"",""xpath"":""/section/activity/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""f5ea183dda13245491d63492a2a4e71cb7b39882aafd166f211718b5d75c2da1""}",,covered
10,o003-c90-ch12-guide-10,o003-gvsu-ch12-act_TS_limits1-prompt-02,synthetic_locale_neutral_alias,source/sec_exam_top.ptx,59,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_exam_top.ptx"",""authority_line"":59,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_TS_limits1"",""xpath"":""/section/activity/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b6cd42757c6f3c1a0c50e4c771edc8de086c34ceb721de6152de4fb2af2021b2""}",,covered
11,o003-c90-ch12-guide-11,o003-gvsu-ch12-act_top_basis-prompt-01,synthetic_locale_neutral_alias,source/sec_base_top.ptx,36,direct_body,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_base_top.ptx"",""authority_line"":36,""element_tag"":""activity"",""nearest_ancestor_or_self_xml_id"":""act_top_basis"",""xpath"":""/section/activity[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""54a319ae98d346ed2d822df27fe54389c7c087d5b6a74bb626523a14dee10838""}",,covered
12,o003-c90-ch12-guide-12,o003-gvsu-ch12-act_Basis-prompt-01,synthetic_locale_neutral_alias,source/sec_base_top.ptx,103,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_base_top.ptx"",""authority_line"":103,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_Basis"",""xpath"":""/section/activity[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""db82410670c4f7b04a6c613b2a8e5dcddbb9f090cf57ffe442bf18f53a0513ee""}",,covered
13,o003-c90-ch12-guide-13,o003-gvsu-ch12-act_Basis-prompt-02,synthetic_locale_neutral_alias,source/sec_base_top.ptx,125,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_base_top.ptx"",""authority_line"":125,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_Basis"",""xpath"":""/section/activity[2]/task[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b8bbc34f646cda54854eb4812e4468a19d09a1d52705763ca11c1c1727180bdc""}",o003-gvsu-ch12-act_Basis-group-01,covered
