companion_entry_id,entry_kind,sequence,source_anchor_id,anchor_origin,source_group,ordinal_within_group,prompt_kind,source_context_id,authority_file,authority_line,authority_selector,authority_statement_sha256,translated_file,translated_line,translated_selector,translated_statement_sha256,relationship,concept_ids
o003-c90-ch07-intro-task-01,source_prompt_guide,1,o003-gvsu-ch07-sec_open_balls_intro-prompt-01,assigned_locale_neutral,intro,1,statement_bearing_task,sec_open_balls_intro,source/sec_open_balls_intro.ptx,71,/section/exploration/task[1]/statement,6339a6e57ea896e4f64e7509bf8506bc46a16efff7995e67277648370cae94d2,source/sec_open_balls_intro.ptx,71,/section/exploration/task[1]/statement,a1536e3afe3dc6f22c14592334197f30a7384f12ed85e6c79adc232186ca9a5f,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;open_ball;euclidean_metric;real_line
o003-c90-ch07-intro-task-02,source_prompt_guide,2,o003-gvsu-ch07-sec_open_balls_intro-prompt-02,assigned_locale_neutral,intro,2,statement_bearing_task,sec_open_balls_intro,source/sec_open_balls_intro.ptx,82,/section/exploration/task[2]/statement,3626732ce7faf61f5d3aeda018ad76a7906774d1e50c4cd1a3bc6a26dd0eada9,source/sec_open_balls_intro.ptx,82,/section/exploration/task[2]/statement,2f8599d7eaa7c43e40a2a3fd490f0e08258c7518dda4a932fd2de9b47ed564c1,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;open_ball;euclidean_metric;euclidean_plane
o003-c90-ch07-intro-task-03,source_prompt_guide,3,o003-gvsu-ch07-sec_open_balls_intro-prompt-03,assigned_locale_neutral,intro,3,statement_bearing_task,sec_open_balls_intro,source/sec_open_balls_intro.ptx,93,/section/exploration/task[3]/statement,b9ec9c2b07118e0dddedbf865e03dee024a5266b6d188473d76e627206020d6f,source/sec_open_balls_intro.ptx,93,/section/exploration/task[3]/statement,b011dcb7548b744a4af448ebd6d83c22cfbcdf4697f12cceede07a614d31c21e,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;open_ball;maximum_metric;euclidean_plane
o003-c90-ch07-intro-task-04,source_prompt_guide,4,o003-gvsu-ch07-sec_open_balls_intro-prompt-04,assigned_locale_neutral,intro,4,statement_bearing_task,sec_open_balls_intro,source/sec_open_balls_intro.ptx,103,/section/exploration/task[4]/statement,d51076e4a8ffcb06442ede2142cee23c93caa5c7be0f46afc84e7329075b9cb7,source/sec_open_balls_intro.ptx,103,/section/exploration/task[4]/statement,c98b061e37b6879d6dc2da27139790c8869634b105bed73ca428274195bf8539,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;open_ball;taxicab_metric;euclidean_plane
o003-c90-ch07-intro-task-05,source_prompt_guide,5,o003-gvsu-ch07-sec_open_balls_intro-prompt-05,assigned_locale_neutral,intro,5,statement_bearing_task,sec_open_balls_intro,source/sec_open_balls_intro.ptx,114,/section/exploration/task[5]/statement,8d20fab10202947f77bf77c0027392eda1f69769684b50d38278b3273fc27278,source/sec_open_balls_intro.ptx,114,/section/exploration/task[5]/statement,2dffc964583e834781b81c43f02729145200662b758cee855b4c9c5f775b9475,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;open_ball;discrete_metric;radius_threshold
o003-c90-ch07-neighborhood-task-01,source_prompt_guide,6,o003-gvsu-ch07-sec_neighborhoods-prompt-01,assigned_locale_neutral,neighborhood,1,statement_bearing_task,sec_neighborhoods,source/sec_neighborhoods.ptx,72,/section/activity/task[1]/statement,82745e5447a3326d4e6ccf4af47bc8ce3a144a88599e969fb9165c9c58418869,source/sec_neighborhoods.ptx,72,/section/activity/task[1]/statement,78e5ce87a03ca44977782d24c28ab875f38934200414ca8efc3ef9f0cbcd4738,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;neighborhood;open_ball;triangle_inequality
o003-c90-ch07-neighborhood-task-02,source_prompt_guide,7,o003-gvsu-ch07-sec_neighborhoods-prompt-02,assigned_locale_neutral,neighborhood,2,statement_bearing_task,sec_neighborhoods,source/sec_neighborhoods.ptx,81,/section/activity/task[2]/statement,3271557fabad289ab30089e4d30eef2bb4abc97445a632c53dbe5d34c9aa75d5,source/sec_neighborhoods.ptx,81,/section/activity/task[2]/statement,b7f6f9e9b699a7c368c7efccb57b499c53dd4b06306de19e8ad8415085f06e5c,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;neighborhood;nested_open_balls;diagram_reasoning
o003-c90-ch07-neighborhood-task-03,source_prompt_guide,8,o003-gvsu-ch07-sec_neighborhoods-prompt-03,assigned_locale_neutral,neighborhood,3,statement_bearing_task,sec_neighborhoods,source/sec_neighborhoods.ptx,94,/section/activity/task[3]/statement,dd5215817a01652b3286f84842451249a186fe79d754bafab8d3b1a180f9e63a,source/sec_neighborhoods.ptx,96,/section/activity/task[3]/statement,e1e9f46aa25caf15beace0cccf151d91909d7538c41763c4bceefe913a76df94,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;neighborhood;converse_counterexample;open_ball
o003-c90-ch07-continuity-ball-task-01,source_prompt_guide,9,o003-gvsu-ch07-sec_cont_neighborhoods-prompt-01,assigned_locale_neutral,continuity-ball,1,statement_bearing_task,act_OB_1,source/sec_cont_neighborhoods.ptx,42,/section/activity[1]/task[1]/statement,ddc91fcb9c660594d23127296988d1b4ee752843af28536af2860c0f96df86ac,source/sec_cont_neighborhoods.ptx,42,/section/activity[1]/task[1]/statement,0fb895c3239e1ef3fbdd2f40d719b91ab8832cdc2e978826ac4fe64ee02cd49b,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;inverse_image;open_ball;quadratic_function
o003-c90-ch07-continuity-ball-task-02,source_prompt_guide,10,o003-gvsu-ch07-sec_cont_neighborhoods-prompt-02,assigned_locale_neutral,continuity-ball,2,statement_bearing_task,act_OB_1,source/sec_cont_neighborhoods.ptx,49,/section/activity[1]/task[2]/statement,f63a69b28b0cd9b548ce127f478198742f303b64a60b71f5f5e1245baa74e142,source/sec_cont_neighborhoods.ptx,49,/section/activity[1]/task[2]/statement,e67d348f4a9a87cdbf4135adcdf8d80d0282c18f8e546e58e82b63ceff058570,provides_staged_support_for_source_prompt,metric_space;open_balls_and_neighborhoods;inverse_image;open_ball;quadratic_function
