sequence,entry_id,entry_type,license,source_anchor,companion_anchor,statement_id,hint_id,answer_id,solution_id,status
1,o003-c90-ch16-guide-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_top-task-01,o003-c90-ch16-guide-01,o003-c90-ch16-guide-01,o003-c90-ch16-guide-01-hint,o003-c90-ch16-guide-01-answer,o003-c90-ch16-guide-01-solution,staged_support_complete
2,o003-c90-ch16-guide-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_top-task-02,o003-c90-ch16-guide-02,o003-c90-ch16-guide-02,o003-c90-ch16-guide-02-hint,o003-c90-ch16-guide-02-answer,o003-c90-ch16-guide-02-solution,staged_support_complete
3,o003-c90-ch16-guide-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_top-task-03,o003-c90-ch16-guide-03,o003-c90-ch16-guide-03,o003-c90-ch16-guide-03-hint,o003-c90-ch16-guide-03-answer,o003-c90-ch16-guide-03-solution,staged_support_complete
4,o003-c90-ch16-guide-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_top-task-04,o003-c90-ch16-guide-04,o003-c90-ch16-guide-04,o003-c90-ch16-guide-04-hint,o003-c90-ch16-guide-04-answer,o003-c90-ch16-guide-04-solution,staged_support_complete
5,o003-c90-ch16-guide-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-act_quot_topology-task-01,o003-c90-ch16-guide-05,o003-c90-ch16-guide-05,o003-c90-ch16-guide-05-hint,o003-c90-ch16-guide-05-answer,o003-c90-ch16-guide-05-solution,staged_support_complete
6,o003-c90-ch16-guide-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-act_quot_topology-task-02,o003-c90-ch16-guide-06,o003-c90-ch16-guide-06,o003-c90-ch16-guide-06-hint,o003-c90-ch16-guide-06-answer,o003-c90-ch16-guide-06-solution,staged_support_complete
7,o003-c90-ch16-guide-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-act_quot_topology-task-03,o003-c90-ch16-guide-07,o003-c90-ch16-guide-07,o003-c90-ch16-guide-07-hint,o003-c90-ch16-guide-07-answer,o003-c90-ch16-guide-07-solution,staged_support_complete
8,o003-c90-ch16-guide-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-act_quot_topology-task-04,o003-c90-ch16-guide-08,o003-c90-ch16-guide-08,o003-c90-ch16-guide-08-hint,o003-c90-ch16-guide-08-answer,o003-c90-ch16-guide-08-solution,staged_support_complete
9,o003-c90-ch16-guide-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_space-task-01,o003-c90-ch16-guide-09,o003-c90-ch16-guide-09,o003-c90-ch16-guide-09-hint,o003-c90-ch16-guide-09-answer,o003-c90-ch16-guide-09-solution,staged_support_complete
10,o003-c90-ch16-guide-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_space-task-02,o003-c90-ch16-guide-10,o003-c90-ch16-guide-10,o003-c90-ch16-guide-10-hint,o003-c90-ch16-guide-10-answer,o003-c90-ch16-guide-10-solution,staged_support_complete
11,o003-c90-ch16-guide-11,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-act_quotient_er-body-01,o003-c90-ch16-guide-11,o003-c90-ch16-guide-11,o003-c90-ch16-guide-11-hint,o003-c90-ch16-guide-11-answer,o003-c90-ch16-guide-11-solution,staged_support_complete
12,o003-c90-ch16-guide-12,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_space-task-03,o003-c90-ch16-guide-12,o003-c90-ch16-guide-12,o003-c90-ch16-guide-12-hint,o003-c90-ch16-guide-12-answer,o003-c90-ch16-guide-12-solution,staged_support_complete
13,o003-c90-ch16-guide-13,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_space-task-04,o003-c90-ch16-guide-13,o003-c90-ch16-guide-13,o003-c90-ch16-guide-13-hint,o003-c90-ch16-guide-13-answer,o003-c90-ch16-guide-13-solution,staged_support_complete
14,o003-c90-ch16-guide-14,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_space-task-05,o003-c90-ch16-guide-14,o003-c90-ch16-guide-14,o003-c90-ch16-guide-14-hint,o003-c90-ch16-guide-14-answer,o003-c90-ch16-guide-14-solution,staged_support_complete
15,o003-c90-ch16-guide-15,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_quotient_space-task-06,o003-c90-ch16-guide-15,o003-c90-ch16-guide-15,o003-c90-ch16-guide-15-hint,o003-c90-ch16-guide-15-answer,o003-c90-ch16-guide-15-solution,staged_support_complete
16,o003-c90-ch16-guide-16,source_prompt_guide,CC BY 4.0,o003-gvsu-ch16-sec_find_quotient_space-task-01,o003-c90-ch16-guide-16,o003-c90-ch16-guide-16,o003-c90-ch16-guide-16-hint,o003-c90-ch16-guide-16-answer,o003-c90-ch16-guide-16-solution,staged_support_complete
